tenant,brand,product_name,source_system,source_entity,source_column,landing_column,conformance_column,silver_column,source_type_name,target_type_name,nullable_flag,default_value,transform_expression,is_active
ikea,ikea,connect,cemc,itemmatplantrep,ITEM_NO,item_no,item_no,item_no,string,string,false,,ITEM_NO,true
ikea,ikea,connect,cemc,itemmatplantrep,ITEM_TYPE,item_type,item_type,item_type,string,string,false,,ITEM_TYPE,true
ikea,ikea,connect,cemc,itemmatplantrep,BU_CODE,bu_code,bu_code,bu_code,string,string,false,,BU_CODE,true
ikea,ikea,connect,cemc,itemmatplantrep,BU_TYPE,bu_type,bu_type,bu_type,string,string,false,,BU_TYPE,true
ikea,ikea,connect,cemc,itemmatplantrep,DOCU_NO_PLANTREP,docu_no_plantrep,docu_no_plantrep,docu_no_plantrep,string,string,false,,DOCU_NO_PLANTREP,true
ikea,ikea,connect,cemc,itemmatplantrep,DOCU_VER_NO_PLANTREP,docu_ver_no_plantrep,docu_ver_no_plantrep,docu_ver_no_plantrep,int,int,false,,DOCU_VER_NO_PLANTREP,true
ikea,ikea,connect,cemc,itemmatplantrep,COMMON_ITEM_NAME,common_item_name,common_item_name,common_item_name,string,string,false,,COMMON_ITEM_NAME,true
ikea,ikea,connect,cemc,itemmatplantrep,MAT_TYPE,mat_type,mat_type,mat_type,string,string,false,,MAT_TYPE,true
ikea,ikea,connect,cemc,itemmatplantrep,MAT_SUB_TYPE,mat_sub_type,mat_sub_type,mat_sub_type,string,string,false,,MAT_SUB_TYPE,true
ikea,ikea,connect,cemc,itemmatplantrep,MAT_DESG,mat_desg,mat_desg,mat_desg,string,string,false,,MAT_DESG,true
ikea,ikea,connect,cemc,itemmatplantrep,COMMODITY_NAME,commodity_name,commodity_name,commodity_name,string,string,false,,COMMODITY_NAME,true
ikea,ikea,connect,cemc,itemmatplantrep,COMB_NO,comb_no,comb_no,comb_no,string,string,false,,COMB_NO,true
ikea,ikea,connect,cemc,itemmatplantrep,PLANTREP_VALID_FROM,plantrep_valid_from,plantrep_valid_from,plantrep_valid_from,date,date,false,,PLANTREP_VALID_FROM,true
ikea,ikea,connect,cemc,itemmatplantrep,PLANTREP_VALID_TO,plantrep_valid_to,plantrep_valid_to,plantrep_valid_to,date,date,false,,PLANTREP_VALID_TO,true
ikea,ikea,connect,cemc,itemmatplantrep,STATUS,status,status,status,string,int,false,,STATUS,true
ikea,ikea,connect,cemc,itemmatplantrep,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,itemmatplantrep,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,itemmatplantrep,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,itemmatplantrep,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,itemmatplantrep,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,itemmatplantrep,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,matddsdet,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,matddsdet,MAT_DDS_ID,mat_dds_id,mat_dds_id,mat_dds_id,int,int,false,,MAT_DDS_ID,true
ikea,ikea,connect,cemc,matddsdet,DDS_REF_NO,dds_ref_no,dds_ref_no,dds_ref_no,string,string,false,,DDS_REF_NO,true
ikea,ikea,connect,cemc,matddsdet,TOKEN_NO,token_no,token_no,token_no,string,string,true,,TOKEN_NO,true
